item_id,a,b,c,category,subcategory,tags,question,alternatives,correct,source,active,notes
SYN-1PL-001,1.0,-0.7931,0.0,D1,,,,,,SYN,1,
SYN-1PL-002,1.0,0.2406,0.0,D2,,,,,,SYN,1,
SYN-1PL-003,1.0,-1.8963,0.0,D3,,,,,,SYN,1,
SYN-1PL-004,1.0,1.3958,0.0,D4,,,,,,SYN,1,
SYN-1PL-005,1.0,0.6383,0.0,D1,,,,,,SYN,1,
SYN-1PL-006,1.0,-0.292,0.0,D2,,,,,,SYN,1,
SYN-1PL-007,1.0,-0.3119,0.0,D3,,,,,,SYN,1,
SYN-1PL-008,1.0,0.3038,0.0,D4,,,,,,SYN,1,
SYN-1PL-009,1.0,-0.2677,0.0,D1,,,,,,SYN,1,
SYN-1PL-010,1.0,-0.2259,0.0,D2,,,,,,SYN,1,
SYN-1PL-011,1.0,0.7201,0.0,D3,,,,,,SYN,1,
SYN-1PL-012,1.0,0.5147,0.0,D4,,,,,,SYN,1,
SYN-1PL-013,1.0,-0.0641,0.0,D1,,,,,,SYN,1,
SYN-1PL-014,1.0,-0.0855,0.0,D2,,,,,,SYN,1,
SYN-1PL-015,1.0,0.1609,0.0,D3,,,,,,SYN,1,
SYN-1PL-016,1.0,-0.614,0.0,D4,,,,,,SYN,1,
SYN-1PL-017,1.0,-0.4038,0.0,D1,,,,,,SYN,1,
SYN-1PL-018,1.0,0.5483,0.0,D2,,,,,,SYN,1,
SYN-1PL-019,1.0,-0.1305,0.0,D3,,,,,,SYN,1,
SYN-1PL-020,1.0,-1.3744,0.0,D4,,,,,,SYN,1,
SYN-1PL-021,1.0,-0.4773,0.0,D1,,,,,,SYN,1,
SYN-1PL-022,1.0,0.6566,0.0,D2,,,,,,SYN,1,
SYN-1PL-023,1.0,-0.2323,0.0,D3,,,,,,SYN,1,
SYN-1PL-024,1.0,-0.1487,0.0,D4,,,,,,SYN,1,
SYN-1PL-025,1.0,0.6418,0.0,D1,,,,,,SYN,1,
SYN-1PL-026,1.0,1.8246,0.0,D2,,,,,,SYN,1,
SYN-1PL-027,1.0,-0.7132,0.0,D3,,,,,,SYN,1,
SYN-1PL-028,1.0,1.3482,0.0,D4,,,,,,SYN,1,
SYN-1PL-029,1.0,-1.23,0.0,D1,,,,,,SYN,1,
SYN-1PL-030,1.0,0.175,0.0,D2,,,,,,SYN,1,
SYN-1PL-031,1.0,-1.1695,0.0,D3,,,,,,SYN,1,
SYN-1PL-032,1.0,1.3515,0.0,D4,,,,,,SYN,1,
SYN-1PL-033,1.0,0.8339,0.0,D1,,,,,,SYN,1,
SYN-1PL-034,1.0,1.1377,0.0,D2,,,,,,SYN,1,
SYN-1PL-035,1.0,-0.8855,0.0,D3,,,,,,SYN,1,
SYN-1PL-036,1.0,0.6846,0.0,D4,,,,,,SYN,1,
SYN-1PL-037,1.0,-0.519,0.0,D1,,,,,,SYN,1,
SYN-1PL-038,1.0,-0.4574,0.0,D2,,,,,,SYN,1,
SYN-1PL-039,1.0,0.5065,0.0,D3,,,,,,SYN,1,
SYN-1PL-040,1.0,0.8767,0.0,D4,,,,,,SYN,1,
SYN-1PL-041,1.0,0.2044,0.0,D1,,,,,,SYN,1,
SYN-1PL-042,1.0,-0.628,0.0,D2,,,,,,SYN,1,
SYN-1PL-043,1.0,-0.8258,0.0,D3,,,,,,SYN,1,
SYN-1PL-044,1.0,1.4443,0.0,D4,,,,,,SYN,1,
SYN-1PL-045,1.0,0.5939,0.0,D1,,,,,,SYN,1,
SYN-1PL-046,1.0,0.7197,0.0,D2,,,,,,SYN,1,
SYN-1PL-047,1.0,2.1835,0.0,D3,,,,,,SYN,1,
SYN-1PL-048,1.0,-0.8159,0.0,D4,,,,,,SYN,1,
SYN-1PL-049,1.0,2.5595,0.0,D1,,,,,,SYN,1,
SYN-1PL-050,1.0,3.1509,0.0,D2,,,,,,SYN,1,
SYN-1PL-051,1.0,1.6184,0.0,D3,,,,,,SYN,1,
SYN-1PL-052,1.0,0.8271,0.0,D4,,,,,,SYN,1,
SYN-1PL-053,1.0,-0.6638,0.0,D1,,,,,,SYN,1,
SYN-1PL-054,1.0,0.9945,0.0,D2,,,,,,SYN,1,
SYN-1PL-055,1.0,-0.4427,0.0,D3,,,,,,SYN,1,
SYN-1PL-056,1.0,-0.0217,0.0,D4,,,,,,SYN,1,
SYN-1PL-057,1.0,-0.2904,0.0,D1,,,,,,SYN,1,
SYN-1PL-058,1.0,0.2838,0.0,D2,,,,,,SYN,1,
SYN-1PL-059,1.0,1.2881,0.0,D3,,,,,,SYN,1,
SYN-1PL-060,1.0,-0.5556,0.0,D4,,,,,,SYN,1,
SYN-1PL-061,1.0,-0.9854,0.0,D1,,,,,,SYN,1,
SYN-1PL-062,1.0,-1.003,0.0,D2,,,,,,SYN,1,
SYN-1PL-063,1.0,-0.9683,0.0,D3,,,,,,SYN,1,
SYN-1PL-064,1.0,-1.4311,0.0,D4,,,,,,SYN,1,
SYN-1PL-065,1.0,-0.9129,0.0,D1,,,,,,SYN,1,
SYN-1PL-066,1.0,1.2933,0.0,D2,,,,,,SYN,1,
SYN-1PL-067,1.0,-0.5933,0.0,D3,,,,,,SYN,1,
SYN-1PL-068,1.0,0.2571,0.0,D4,,,,,,SYN,1,
SYN-1PL-069,1.0,-1.2169,0.0,D1,,,,,,SYN,1,
SYN-1PL-070,1.0,0.1697,0.0,D2,,,,,,SYN,1,
SYN-1PL-071,1.0,-1.7408,0.0,D3,,,,,,SYN,1,
SYN-1PL-072,1.0,-0.6988,0.0,D4,,,,,,SYN,1,
SYN-1PL-073,1.0,2.2545,0.0,D1,,,,,,SYN,1,
SYN-1PL-074,1.0,-0.583,0.0,D2,,,,,,SYN,1,
SYN-1PL-075,1.0,1.12,0.0,D3,,,,,,SYN,1,
SYN-1PL-076,1.0,0.4551,0.0,D4,,,,,,SYN,1,
SYN-1PL-077,1.0,-0.153,0.0,D1,,,,,,SYN,1,
SYN-1PL-078,1.0,-0.6521,0.0,D2,,,,,,SYN,1,
SYN-1PL-079,1.0,1.2869,0.0,D3,,,,,,SYN,1,
SYN-1PL-080,1.0,-0.1774,0.0,D4,,,,,,SYN,1,
SYN-1PL-081,1.0,1.5274,0.0,D1,,,,,,SYN,1,
SYN-1PL-082,1.0,-0.7191,0.0,D2,,,,,,SYN,1,
SYN-1PL-083,1.0,0.0573,0.0,D3,,,,,,SYN,1,
SYN-1PL-084,1.0,0.4655,0.0,D4,,,,,,SYN,1,
SYN-1PL-085,1.0,0.3732,0.0,D1,,,,,,SYN,1,
SYN-1PL-086,1.0,-1.2338,0.0,D2,,,,,,SYN,1,
SYN-1PL-087,1.0,-0.6641,0.0,D3,,,,,,SYN,1,
SYN-1PL-088,1.0,-0.196,0.0,D4,,,,,,SYN,1,
SYN-1PL-089,1.0,-0.8537,0.0,D1,,,,,,SYN,1,
SYN-1PL-090,1.0,0.6773,0.0,D2,,,,,,SYN,1,
SYN-1PL-091,1.0,0.588,0.0,D3,,,,,,SYN,1,
SYN-1PL-092,1.0,-1.9571,0.0,D4,,,,,,SYN,1,
SYN-1PL-093,1.0,-1.8053,0.0,D1,,,,,,SYN,1,
SYN-1PL-094,1.0,-1.2816,0.0,D2,,,,,,SYN,1,
SYN-1PL-095,1.0,0.1173,0.0,D3,,,,,,SYN,1,
SYN-1PL-096,1.0,2.0332,0.0,D4,,,,,,SYN,1,
SYN-1PL-097,1.0,-0.3824,0.0,D1,,,,,,SYN,1,
SYN-1PL-098,1.0,0.2507,0.0,D2,,,,,,SYN,1,
SYN-1PL-099,1.0,-1.0631,0.0,D3,,,,,,SYN,1,
SYN-1PL-100,1.0,-1.0468,0.0,D4,,,,,,SYN,1,
SYN-1PL-101,1.0,-1.9572,0.0,D1,,,,,,SYN,1,
SYN-1PL-102,1.0,-0.0283,0.0,D2,,,,,,SYN,1,
SYN-1PL-103,1.0,0.9472,0.0,D3,,,,,,SYN,1,
SYN-1PL-104,1.0,-0.3567,0.0,D4,,,,,,SYN,1,
SYN-1PL-105,1.0,1.3965,0.0,D1,,,,,,SYN,1,
SYN-1PL-106,1.0,0.1979,0.0,D2,,,,,,SYN,1,
SYN-1PL-107,1.0,-0.0364,0.0,D3,,,,,,SYN,1,
SYN-1PL-108,1.0,0.5173,0.0,D4,,,,,,SYN,1,
SYN-1PL-109,1.0,0.4874,0.0,D1,,,,,,SYN,1,
SYN-1PL-110,1.0,1.1478,0.0,D2,,,,,,SYN,1,
SYN-1PL-111,1.0,-0.802,0.0,D3,,,,,,SYN,1,
SYN-1PL-112,1.0,-2.288,0.0,D4,,,,,,SYN,1,
SYN-1PL-113,1.0,0.1147,0.0,D1,,,,,,SYN,1,
SYN-1PL-114,1.0,-0.6117,0.0,D2,,,,,,SYN,1,
SYN-1PL-115,1.0,-0.0272,0.0,D3,,,,,,SYN,1,
SYN-1PL-116,1.0,1.6643,0.0,D4,,,,,,SYN,1,
SYN-1PL-117,1.0,-1.1028,0.0,D1,,,,,,SYN,1,
SYN-1PL-118,1.0,0.7648,0.0,D2,,,,,,SYN,1,
SYN-1PL-119,1.0,0.9459,0.0,D3,,,,,,SYN,1,
SYN-1PL-120,1.0,0.4607,0.0,D4,,,,,,SYN,1,
SYN-1PL-121,1.0,1.1185,0.0,D1,,,,,,SYN,1,
SYN-1PL-122,1.0,-0.4584,0.0,D2,,,,,,SYN,1,
SYN-1PL-123,1.0,-0.6815,0.0,D3,,,,,,SYN,1,
SYN-1PL-124,1.0,1.039,0.0,D4,,,,,,SYN,1,
SYN-1PL-125,1.0,0.7203,0.0,D1,,,,,,SYN,1,
SYN-1PL-126,1.0,1.3904,0.0,D2,,,,,,SYN,1,
SYN-1PL-127,1.0,0.2123,0.0,D3,,,,,,SYN,1,
SYN-1PL-128,1.0,1.6236,0.0,D4,,,,,,SYN,1,
SYN-1PL-129,1.0,-0.2821,0.0,D1,,,,,,SYN,1,
SYN-1PL-130,1.0,-1.0603,0.0,D2,,,,,,SYN,1,
SYN-1PL-131,1.0,-2.0371,0.0,D3,,,,,,SYN,1,
SYN-1PL-132,1.0,-1.1014,0.0,D4,,,,,,SYN,1,
SYN-1PL-133,1.0,0.8185,0.0,D1,,,,,,SYN,1,
SYN-1PL-134,1.0,-1.4649,0.0,D2,,,,,,SYN,1,
SYN-1PL-135,1.0,-0.4524,0.0,D3,,,,,,SYN,1,
SYN-1PL-136,1.0,2.1066,0.0,D4,,,,,,SYN,1,
SYN-1PL-137,1.0,0.8468,0.0,D1,,,,,,SYN,1,
SYN-1PL-138,1.0,1.791,0.0,D2,,,,,,SYN,1,
SYN-1PL-139,1.0,-0.9916,0.0,D3,,,,,,SYN,1,
SYN-1PL-140,1.0,-2.46,0.0,D4,,,,,,SYN,1,
SYN-1PL-141,1.0,1.5164,0.0,D1,,,,,,SYN,1,
SYN-1PL-142,1.0,-1.4169,0.0,D2,,,,,,SYN,1,
SYN-1PL-143,1.0,0.0909,0.0,D3,,,,,,SYN,1,
SYN-1PL-144,1.0,0.2171,0.0,D4,,,,,,SYN,1,
SYN-1PL-145,1.0,-0.9489,0.0,D1,,,,,,SYN,1,
SYN-1PL-146,1.0,1.5526,0.0,D2,,,,,,SYN,1,
SYN-1PL-147,1.0,1.5493,0.0,D3,,,,,,SYN,1,
SYN-1PL-148,1.0,0.5514,0.0,D4,,,,,,SYN,1,
SYN-1PL-149,1.0,-0.0295,0.0,D1,,,,,,SYN,1,
SYN-1PL-150,1.0,0.1914,0.0,D2,,,,,,SYN,1,
SYN-1PL-151,1.0,-1.0959,0.0,D3,,,,,,SYN,1,
SYN-1PL-152,1.0,-0.2391,0.0,D4,,,,,,SYN,1,
SYN-1PL-153,1.0,-0.1049,0.0,D1,,,,,,SYN,1,
SYN-1PL-154,1.0,-0.8522,0.0,D2,,,,,,SYN,1,
SYN-1PL-155,1.0,0.8492,0.0,D3,,,,,,SYN,1,
SYN-1PL-156,1.0,-1.4265,0.0,D4,,,,,,SYN,1,
SYN-1PL-157,1.0,-0.4534,0.0,D1,,,,,,SYN,1,
SYN-1PL-158,1.0,-2.2529,0.0,D2,,,,,,SYN,1,
SYN-1PL-159,1.0,0.4968,0.0,D3,,,,,,SYN,1,
SYN-1PL-160,1.0,0.7426,0.0,D4,,,,,,SYN,1,
SYN-1PL-161,1.0,0.6213,0.0,D1,,,,,,SYN,1,
SYN-1PL-162,1.0,2.9181,0.0,D2,,,,,,SYN,1,
SYN-1PL-163,1.0,0.9398,0.0,D3,,,,,,SYN,1,
SYN-1PL-164,1.0,-0.942,0.0,D4,,,,,,SYN,1,
SYN-1PL-165,1.0,2.6635,0.0,D1,,,,,,SYN,1,
SYN-1PL-166,1.0,-0.9203,0.0,D2,,,,,,SYN,1,
SYN-1PL-167,1.0,0.7887,0.0,D3,,,,,,SYN,1,
SYN-1PL-168,1.0,0.7431,0.0,D4,,,,,,SYN,1,
SYN-1PL-169,1.0,-0.8797,0.0,D1,,,,,,SYN,1,
SYN-1PL-170,1.0,1.3953,0.0,D2,,,,,,SYN,1,
SYN-1PL-171,1.0,0.3546,0.0,D3,,,,,,SYN,1,
SYN-1PL-172,1.0,0.571,0.0,D4,,,,,,SYN,1,
SYN-1PL-173,1.0,-0.6757,0.0,D1,,,,,,SYN,1,
SYN-1PL-174,1.0,1.3026,0.0,D2,,,,,,SYN,1,
SYN-1PL-175,1.0,-0.8609,0.0,D3,,,,,,SYN,1,
SYN-1PL-176,1.0,-1.7792,0.0,D4,,,,,,SYN,1,
SYN-1PL-177,1.0,1.4251,0.0,D1,,,,,,SYN,1,
SYN-1PL-178,1.0,-0.4267,0.0,D2,,,,,,SYN,1,
SYN-1PL-179,1.0,0.0434,0.0,D3,,,,,,SYN,1,
SYN-1PL-180,1.0,1.9228,0.0,D4,,,,,,SYN,1,
SYN-1PL-181,1.0,1.1365,0.0,D1,,,,,,SYN,1,
SYN-1PL-182,1.0,0.6327,0.0,D2,,,,,,SYN,1,
SYN-1PL-183,1.0,1.0699,0.0,D3,,,,,,SYN,1,
SYN-1PL-184,1.0,-0.7275,0.0,D4,,,,,,SYN,1,
SYN-1PL-185,1.0,0.7531,0.0,D1,,,,,,SYN,1,
SYN-1PL-186,1.0,1.1099,0.0,D2,,,,,,SYN,1,
SYN-1PL-187,1.0,0.7554,0.0,D3,,,,,,SYN,1,
SYN-1PL-188,1.0,-0.2041,0.0,D4,,,,,,SYN,1,
SYN-1PL-189,1.0,-3.7474,0.0,D1,,,,,,SYN,1,
SYN-1PL-190,1.0,0.5573,0.0,D2,,,,,,SYN,1,
SYN-1PL-191,1.0,0.1149,0.0,D3,,,,,,SYN,1,
SYN-1PL-192,1.0,-0.3696,0.0,D4,,,,,,SYN,1,
SYN-1PL-193,1.0,0.7781,0.0,D1,,,,,,SYN,1,
SYN-1PL-194,1.0,0.2657,0.0,D2,,,,,,SYN,1,
SYN-1PL-195,1.0,0.204,0.0,D3,,,,,,SYN,1,
SYN-1PL-196,1.0,-1.4836,0.0,D4,,,,,,SYN,1,
SYN-1PL-197,1.0,-1.4593,0.0,D1,,,,,,SYN,1,
SYN-1PL-198,1.0,0.3705,0.0,D2,,,,,,SYN,1,
SYN-1PL-199,1.0,0.0761,0.0,D3,,,,,,SYN,1,
SYN-1PL-200,1.0,0.1387,0.0,D4,,,,,,SYN,1,
SYN-1PL-201,1.0,0.1663,0.0,D1,,,,,,SYN,1,
SYN-1PL-202,1.0,0.4115,0.0,D2,,,,,,SYN,1,
SYN-1PL-203,1.0,0.0361,0.0,D3,,,,,,SYN,1,
SYN-1PL-204,1.0,0.1578,0.0,D4,,,,,,SYN,1,
SYN-1PL-205,1.0,0.2561,0.0,D1,,,,,,SYN,1,
SYN-1PL-206,1.0,0.9294,0.0,D2,,,,,,SYN,1,
SYN-1PL-207,1.0,-0.5147,0.0,D3,,,,,,SYN,1,
SYN-1PL-208,1.0,0.7864,0.0,D4,,,,,,SYN,1,
SYN-1PL-209,1.0,0.6364,0.0,D1,,,,,,SYN,1,
SYN-1PL-210,1.0,0.1054,0.0,D2,,,,,,SYN,1,
SYN-1PL-211,1.0,-0.4751,0.0,D3,,,,,,SYN,1,
SYN-1PL-212,1.0,0.3691,0.0,D4,,,,,,SYN,1,
SYN-1PL-213,1.0,0.864,0.0,D1,,,,,,SYN,1,
SYN-1PL-214,1.0,-1.075,0.0,D2,,,,,,SYN,1,
SYN-1PL-215,1.0,0.0621,0.0,D3,,,,,,SYN,1,
SYN-1PL-216,1.0,0.0647,0.0,D4,,,,,,SYN,1,
SYN-1PL-217,1.0,-0.6612,0.0,D1,,,,,,SYN,1,
SYN-1PL-218,1.0,-0.6193,0.0,D2,,,,,,SYN,1,
SYN-1PL-219,1.0,-1.5511,0.0,D3,,,,,,SYN,1,
SYN-1PL-220,1.0,-1.1031,0.0,D4,,,,,,SYN,1,
SYN-1PL-221,1.0,-1.5375,0.0,D1,,,,,,SYN,1,
SYN-1PL-222,1.0,-0.6166,0.0,D2,,,,,,SYN,1,
SYN-1PL-223,1.0,-0.56,0.0,D3,,,,,,SYN,1,
SYN-1PL-224,1.0,-0.5413,0.0,D4,,,,,,SYN,1,
SYN-1PL-225,1.0,0.3718,0.0,D1,,,,,,SYN,1,
SYN-1PL-226,1.0,-0.1876,0.0,D2,,,,,,SYN,1,
SYN-1PL-227,1.0,-0.7289,0.0,D3,,,,,,SYN,1,
SYN-1PL-228,1.0,-0.7219,0.0,D4,,,,,,SYN,1,
SYN-1PL-229,1.0,-1.1315,0.0,D1,,,,,,SYN,1,
SYN-1PL-230,1.0,-0.1962,0.0,D2,,,,,,SYN,1,
SYN-1PL-231,1.0,-0.2141,0.0,D3,,,,,,SYN,1,
SYN-1PL-232,1.0,1.623,0.0,D4,,,,,,SYN,1,
SYN-1PL-233,1.0,1.5342,0.0,D1,,,,,,SYN,1,
SYN-1PL-234,1.0,1.4779,0.0,D2,,,,,,SYN,1,
SYN-1PL-235,1.0,2.0792,0.0,D3,,,,,,SYN,1,
SYN-1PL-236,1.0,-1.2171,0.0,D4,,,,,,SYN,1,
SYN-1PL-237,1.0,0.673,0.0,D1,,,,,,SYN,1,
SYN-1PL-238,1.0,0.7611,0.0,D2,,,,,,SYN,1,
SYN-1PL-239,1.0,0.4762,0.0,D3,,,,,,SYN,1,
SYN-1PL-240,1.0,2.1267,0.0,D4,,,,,,SYN,1,
SYN-1PL-241,1.0,2.5379,0.0,D1,,,,,,SYN,1,
SYN-1PL-242,1.0,0.9794,0.0,D2,,,,,,SYN,1,
SYN-1PL-243,1.0,0.6531,0.0,D3,,,,,,SYN,1,
SYN-1PL-244,1.0,-1.1224,0.0,D4,,,,,,SYN,1,
SYN-1PL-245,1.0,-1.1204,0.0,D1,,,,,,SYN,1,
SYN-1PL-246,1.0,0.7002,0.0,D2,,,,,,SYN,1,
SYN-1PL-247,1.0,-0.0756,0.0,D3,,,,,,SYN,1,
SYN-1PL-248,1.0,-1.3306,0.0,D4,,,,,,SYN,1,
SYN-1PL-249,1.0,-0.124,0.0,D1,,,,,,SYN,1,
SYN-1PL-250,1.0,0.36,0.0,D2,,,,,,SYN,1,
SYN-1PL-251,1.0,0.9359,0.0,D3,,,,,,SYN,1,
SYN-1PL-252,1.0,-0.1077,0.0,D4,,,,,,SYN,1,
SYN-1PL-253,1.0,-0.2692,0.0,D1,,,,,,SYN,1,
SYN-1PL-254,1.0,0.0062,0.0,D2,,,,,,SYN,1,
SYN-1PL-255,1.0,0.173,0.0,D3,,,,,,SYN,1,
SYN-1PL-256,1.0,-1.1631,0.0,D4,,,,,,SYN,1,
SYN-1PL-257,1.0,0.8333,0.0,D1,,,,,,SYN,1,
SYN-1PL-258,1.0,2.1903,0.0,D2,,,,,,SYN,1,
SYN-1PL-259,1.0,0.8142,0.0,D3,,,,,,SYN,1,
SYN-1PL-260,1.0,-1.4482,0.0,D4,,,,,,SYN,1,
SYN-1PL-261,1.0,0.0945,0.0,D1,,,,,,SYN,1,
SYN-1PL-262,1.0,-1.7656,0.0,D2,,,,,,SYN,1,
SYN-1PL-263,1.0,-1.8292,0.0,D3,,,,,,SYN,1,
SYN-1PL-264,1.0,0.6593,0.0,D4,,,,,,SYN,1,
SYN-1PL-265,1.0,0.0776,0.0,D1,,,,,,SYN,1,
SYN-1PL-266,1.0,-0.6871,0.0,D2,,,,,,SYN,1,
SYN-1PL-267,1.0,-2.0874,0.0,D3,,,,,,SYN,1,
SYN-1PL-268,1.0,-1.2689,0.0,D4,,,,,,SYN,1,
SYN-1PL-269,1.0,0.1622,0.0,D1,,,,,,SYN,1,
SYN-1PL-270,1.0,0.0319,0.0,D2,,,,,,SYN,1,
SYN-1PL-271,1.0,0.6897,0.0,D3,,,,,,SYN,1,
SYN-1PL-272,1.0,1.5234,0.0,D4,,,,,,SYN,1,
SYN-1PL-273,1.0,-0.3393,0.0,D1,,,,,,SYN,1,
SYN-1PL-274,1.0,0.469,0.0,D2,,,,,,SYN,1,
SYN-1PL-275,1.0,-0.1378,0.0,D3,,,,,,SYN,1,
SYN-1PL-276,1.0,-0.4965,0.0,D4,,,,,,SYN,1,
SYN-1PL-277,1.0,-0.2448,0.0,D1,,,,,,SYN,1,
SYN-1PL-278,1.0,0.9608,0.0,D2,,,,,,SYN,1,
SYN-1PL-279,1.0,-1.0284,0.0,D3,,,,,,SYN,1,
SYN-1PL-280,1.0,1.141,0.0,D4,,,,,,SYN,1,
SYN-1PL-281,1.0,1.4773,0.0,D1,,,,,,SYN,1,
SYN-1PL-282,1.0,0.0357,0.0,D2,,,,,,SYN,1,
SYN-1PL-283,1.0,0.2549,0.0,D3,,,,,,SYN,1,
SYN-1PL-284,1.0,-1.4118,0.0,D4,,,,,,SYN,1,
SYN-1PL-285,1.0,2.3605,0.0,D1,,,,,,SYN,1,
SYN-1PL-286,1.0,0.9789,0.0,D2,,,,,,SYN,1,
SYN-1PL-287,1.0,0.1723,0.0,D3,,,,,,SYN,1,
SYN-1PL-288,1.0,0.0574,0.0,D4,,,,,,SYN,1,
SYN-1PL-289,1.0,0.451,0.0,D1,,,,,,SYN,1,
SYN-1PL-290,1.0,-0.6512,0.0,D2,,,,,,SYN,1,
SYN-1PL-291,1.0,0.2833,0.0,D3,,,,,,SYN,1,
SYN-1PL-292,1.0,-0.9236,0.0,D4,,,,,,SYN,1,
SYN-1PL-293,1.0,0.4973,0.0,D1,,,,,,SYN,1,
SYN-1PL-294,1.0,-0.6782,0.0,D2,,,,,,SYN,1,
SYN-1PL-295,1.0,0.8955,0.0,D3,,,,,,SYN,1,
SYN-1PL-296,1.0,-0.1204,0.0,D4,,,,,,SYN,1,
SYN-1PL-297,1.0,0.2687,0.0,D1,,,,,,SYN,1,
SYN-1PL-298,1.0,2.9609,0.0,D2,,,,,,SYN,1,
SYN-1PL-299,1.0,0.8042,0.0,D3,,,,,,SYN,1,
SYN-1PL-300,1.0,0.2678,0.0,D4,,,,,,SYN,1,
SYN-1PL-301,1.0,0.0444,0.0,D1,,,,,,SYN,1,
SYN-1PL-302,1.0,-1.0392,0.0,D2,,,,,,SYN,1,
SYN-1PL-303,1.0,1.0842,0.0,D3,,,,,,SYN,1,
SYN-1PL-304,1.0,1.6023,0.0,D4,,,,,,SYN,1,
SYN-1PL-305,1.0,0.0644,0.0,D1,,,,,,SYN,1,
SYN-1PL-306,1.0,1.6768,0.0,D2,,,,,,SYN,1,
SYN-1PL-307,1.0,-0.1123,0.0,D3,,,,,,SYN,1,
SYN-1PL-308,1.0,-1.7731,0.0,D4,,,,,,SYN,1,
SYN-1PL-309,1.0,-0.6532,0.0,D1,,,,,,SYN,1,
SYN-1PL-310,1.0,-1.057,0.0,D2,,,,,,SYN,1,
SYN-1PL-311,1.0,-0.2745,0.0,D3,,,,,,SYN,1,
SYN-1PL-312,1.0,0.627,0.0,D4,,,,,,SYN,1,
SYN-1PL-313,1.0,-0.929,0.0,D1,,,,,,SYN,1,
SYN-1PL-314,1.0,-0.0802,0.0,D2,,,,,,SYN,1,
SYN-1PL-315,1.0,0.1994,0.0,D3,,,,,,SYN,1,
SYN-1PL-316,1.0,-0.733,0.0,D4,,,,,,SYN,1,
SYN-1PL-317,1.0,-0.9093,0.0,D1,,,,,,SYN,1,
SYN-1PL-318,1.0,0.0872,0.0,D2,,,,,,SYN,1,
SYN-1PL-319,1.0,0.8724,0.0,D3,,,,,,SYN,1,
SYN-1PL-320,1.0,-0.6032,0.0,D4,,,,,,SYN,1,
SYN-1PL-321,1.0,-0.7514,0.0,D1,,,,,,SYN,1,
SYN-1PL-322,1.0,-0.1413,0.0,D2,,,,,,SYN,1,
SYN-1PL-323,1.0,0.2899,0.0,D3,,,,,,SYN,1,
SYN-1PL-324,1.0,-0.543,0.0,D4,,,,,,SYN,1,
SYN-1PL-325,1.0,-0.3341,0.0,D1,,,,,,SYN,1,
SYN-1PL-326,1.0,-0.2313,0.0,D2,,,,,,SYN,1,
SYN-1PL-327,1.0,-1.0858,0.0,D3,,,,,,SYN,1,
SYN-1PL-328,1.0,-0.1775,0.0,D4,,,,,,SYN,1,
SYN-1PL-329,1.0,-0.56,0.0,D1,,,,,,SYN,1,
SYN-1PL-330,1.0,1.5834,0.0,D2,,,,,,SYN,1,
SYN-1PL-331,1.0,-0.5173,0.0,D3,,,,,,SYN,1,
SYN-1PL-332,1.0,0.4571,0.0,D4,,,,,,SYN,1,
SYN-1PL-333,1.0,0.3795,0.0,D1,,,,,,SYN,1,
SYN-1PL-334,1.0,-1.118,0.0,D2,,,,,,SYN,1,
SYN-1PL-335,1.0,-1.2489,0.0,D3,,,,,,SYN,1,
SYN-1PL-336,1.0,-0.4455,0.0,D4,,,,,,SYN,1,
SYN-1PL-337,1.0,0.6626,0.0,D1,,,,,,SYN,1,
SYN-1PL-338,1.0,-0.5732,0.0,D2,,,,,,SYN,1,
SYN-1PL-339,1.0,-0.6562,0.0,D3,,,,,,SYN,1,
SYN-1PL-340,1.0,-2.9002,0.0,D4,,,,,,SYN,1,
SYN-1PL-341,1.0,-0.3968,0.0,D1,,,,,,SYN,1,
SYN-1PL-342,1.0,0.3125,0.0,D2,,,,,,SYN,1,
SYN-1PL-343,1.0,0.4447,0.0,D3,,,,,,SYN,1,
SYN-1PL-344,1.0,0.4292,0.0,D4,,,,,,SYN,1,
SYN-1PL-345,1.0,-0.3278,0.0,D1,,,,,,SYN,1,
SYN-1PL-346,1.0,-0.2272,0.0,D2,,,,,,SYN,1,
SYN-1PL-347,1.0,0.8323,0.0,D3,,,,,,SYN,1,
SYN-1PL-348,1.0,-0.1357,0.0,D4,,,,,,SYN,1,
SYN-1PL-349,1.0,-2.303,0.0,D1,,,,,,SYN,1,
